indice_tiempo,produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_gas_natural_total_diario,produccion_shale_gas,produccion_tight_gas,participacion_no_convencional
2006-01,856179.0548,357316.6790,2401346.6020,609196.2466,5201.6404,4229240.2228,136.4271,16.384,32491.62664,0.7686
2006-02,779265.9292,309565.3828,2288114.6045,532122.4430,4273.6100,3913341.9695,139.7622,13.954,30778.94772,0.7869
2006-03,807060.6516,384218.4085,2507931.8409,588406.1140,5135.2570,4292752.2720,138.4759,18.104,33024.46882,0.7697
2006-04,855962.9924,376149.2286,2395268.9412,570671.5738,4986.4970,4203039.2330,140.1013,19.627,31342.49019,0.7462
2006-05,905943.5735,409186.6946,2571094.7700,562752.1099,5265.7730,4454242.9210,143.6853,19.016,39199.71537,0.8805
2006-06,899953.7370,369520.1646,2545313.2836,564385.9396,5026.6180,4384199.7428,146.1400,17.952,38106.87557,0.8696
2006-07,928197.4133,406351.7207,2628112.2978,577643.2764,5461.1480,4545765.8562,146.6376,190.533,37357.50691,0.8260
2006-08,934321.6548,444712.3224,2603930.5671,604505.7589,5413.7580,4592884.0612,148.1576,214.513,38219.93880,0.8368
2006-09,845728.5839,435912.7834,2505231.4657,617808.2044,4842.4140,4409523.4514,146.9841,198.264,36661.45715,0.8359
2006-10,851540.1930,436686.7211,2495613.4746,629452.6656,5131.5590,4418424.6133,142.5298,146.465,38518.32538,0.8751
2006-11,819035.8164,375484.9937,2363692.4336,603020.3122,5563.5370,4166797.0929,138.8932,206.376,35270.78721,0.8514
2006-12,818328.3274,407262.9753,2467957.2143,588563.4196,5299.7000,4287411.6366,138.3036,220.764,37954.76500,0.8904
2007-01,802719.6766,403686.6270,2402256.0861,587197.7912,5145.0189,4201005.1998,135.5163,160.045,34597.97577,0.8274
2007-02,662014.5435,401804.2857,2181664.9233,526640.9923,4826.9099,3776951.6547,134.8911,130.789,30597.61690,0.8136
2007-03,794928.7435,459628.2446,2487339.0196,534732.2120,5257.2507,4281885.4704,138.1253,129.043,29757.28007,0.6980
2007-04,813831.9893,423504.5608,2490478.1484,536857.8436,5260.4229,4269932.9650,142.3311,117.428,30394.99771,0.7146
2007-05,874223.6548,429856.2152,2646220.9789,524837.6788,5064.3899,4480202.9176,144.5227,14.237,35002.10938,0.7816
2007-06,789827.8569,414714.5744,2571796.3800,540901.9931,4718.9822,4321959.7866,144.0653,14.381,31974.14293,0.7401
2007-07,807442.9250,407909.0604,2666046.0481,601803.5531,4908.6692,4488110.2558,144.7778,285.546,40619.50817,0.9114
2007-08,802565.7239,420742.0685,2630872.7570,594543.2927,4551.6867,4453275.5288,143.6540,192.622,39567.62856,0.8928
2007-09,758913.3621,417441.2958,2527932.4700,617946.8926,4686.7224,4326920.7429,144.2307,168.927,36221.04112,0.8410
2007-10,760255.0888,418309.9979,2455988.2084,590403.6234,4867.5965,4229824.5150,136.4460,130.084,37345.01372,0.8860
2007-11,671404.3346,391833.2473,2364882.6086,571726.5612,4683.4848,4004530.2365,133.4843,279.894,34925.74344,0.8791
2007-12,729207.0034,427485.6566,2505607.2909,599895.9902,4621.8782,4266817.8193,137.6393,84.155,38082.82426,0.8945
2008-01,717540.4945,435400.6935,2415113.0804,593627.1593,4580.8024,4166262.2301,134.3956,59.463,36364.8664,0.8743
2008-02,658337.2303,412363.9964,2320226.1947,555267.0112,4436.0707,3950630.5033,136.2286,73.486,34535.44475,0.8760
2008-03,756101.5195,423487.0234,2507437.4535,593898.8899,4656.5616,4285581.4479,138.2446,83.774,40866.78528,0.9555
2008-04,752520.5861,425055.1583,2393115.7574,560922.2662,4397.7192,4136011.4872,137.8670,5.676,44647.56136819,1.0796
2008-05,716317.5511,305660.1210,2531056.6267,589434.6121,4706.9273,4147175.8382,133.7799,16.678,46997.80365,1.1337
2008-06,795387.9113,371246.1008,2495989.0238,584489.9644,4690.4752,4251803.4755,141.7268,116.097,50739.83499,1.1961
2008-07,854641.0568,418236.9598,2580977.2450,603780.3062,5029.3602,4462664.9280,143.9569,193.091,59405.3895,1.3355
2008-08,859147.6489,438369.1443,2582675.5442,590947.7363,5094.9095,4476234.9832,144.3947,963.973,62441.41308,1.4165
2008-09,779700.4635,427352.9665,2517191.4185,559118.2325,4898.3629,4288261.4439,142.9420,888.287,73487.21939,1.7344
2008-10,786082.2378,447322.5934,2475496.0847,567699.0051,5133.6841,4281733.6051,138.1204,882.893,86691.50828,2.0453
2008-11,732379.8693,427905.4627,2363532.0138,536045.6393,4933.2316,4064796.2167,135.4932,843.723,82477.67714,2.0498
2008-12,727670.5974,434688.4301,2398541.9800,544927.7851,5183.8545,4111012.6471,132.6133,932.747,84166.59825,2.0700
